artist,capacities
Dave Matthews Band,1058504
Jason Aldean,983540
Bruno Mars,666380
Sam Smith,654871
J. Cole,648154
Drake,629997
Train,619378
Travis Scott,594328
Weezer,534604
Twenty One Pilots,534071
