name,count
2 Chainz,96701
5 Seconds Of Summer,89325
Sam Hunt,86805
Maroon 5,68143
Kodak Black,50858
Ariana Grande,45155
twenty one pilots,42924
Pink,41079
Big Sean,39305
Red Hot Chili Peppers,38696
Portugal The Man,35646
Chris Brown,35498
Julia Michaels,33314
Harry Styles,32050
Zac Brown Band,30785
Queen,30285
Taylor Swift,27727
Guns N Roses,27313
John Mayer,26857
Elton John,26686
Lil Baby,26668
James Arthur,26089
Eric Church,25362
Sam Smith,24822
Rich The Kid,23860
Chris Stapleton,23231
Linkin Park,23205
Calvin Harris,23171
Bad Bunny,22668
Tom Petty And The Heartbreakers,20870
Roger Waters,18396
Travis Scott,18235
Kane Brown,17735
21 Savage,17701
Lady Gaga,17472
The Rolling Stones,16696
Justin Bieber,16385
Post Malone,15815
Future,15563
Justin Timberlake,15348
Imagine Dragons,13590
YoungBoy Never Broke Again,13123
Brett Young,12656
Lil Pump,12280
Young Thug,12178
Old Dominion,12108
Florida Georgia Line,11459
Demi Lovato,11251
Beyonce,11145
Liam Payne,11086
Rihanna,10597
Dan + Shay,10317
Blake Shelton,10137
Selena Gomez,10103
Katy Perry,10034
Billy Joel,9966
Jason Aldean,9953
Lil Wayne,9886
J Cole,9843
Luke Bryan,9701
Ty Dolla Sign,9657
Charlie Puth,9632
BTS,9569
Kenny Chesney,9548
Jon Pardi,9309
Zayn,9182
JAY Z,9117
Thomas Rhett,8996
EXO,8882
Lil Skies,8439
Miley Cyrus,8388
Nicki Minaj,8306
Cardi B,8027
Lauren Daigle,7989
Bruno Mars,7798
Luke Combs,7714
Drake,7396
A Boogie Wit da Hoodie,7253
J Balvin,6876
G Eazy,6805
Ed Sheeran,6649
DJ Khaled,6579
Lil Uzi Vert,6557
Ella Mai,6401
Keith Urban,6316
Niall Horan,6255
The Carters,6180
French Montana,5466
Eagles,5371
Kanye West,5180
Foo Fighters,4735
Journey,4659
Kendrick Lamar,4615
Chance The Rapper,4366
Shawn Mendes,4002
Panic At The Disco,3954
Alessia Cara,3775
Eminem,3430
Daddy Yankee,3234
Maren Morris,2435
Adele,2427
Camila Cabello,2107
Luis Fonsi,1744
Kesha,1720
Logic,1532
Migos,1491
Juice WRLD,1462
Bebe Rexha,1381
Gucci Mane,1375
The Weeknd,1296
Depeche Mode,1254
Sia,1170
Coldplay,1114
Celine Dion,1064
Rae Sremmurd,1008
Halsey,922
Metro Boomin,887
BlocBoy JB,822
Pentatonix,770
Metallica,760
Zedd,593
The Chainsmokers,585
U2,491
Playboi Carti,471
Childish Gambino,465
Marshmello,387
NF,387
Dua Lipa,383
Offset,382
Quavo,308
Maluma,291
SZA,264
Bazzi,225
Gunna,203
Khalid,192
Bryson Tiller,136
6ix9ine,84
Ozuna,62
XXXTENTACION,59
Lauv,59
